order_id,customer_id,amount,status,created_at,updated_at
O001,C01,1500.00,paid,2026-06-01 09:12:00,2026-06-01 09:12:00
O002,C02,"1,950.00",paid,2026-06-01 10:03:00,2026-06-01 10:03:00
O003,C04,3760.00,paid,2026-06-02 08:45:00,2026-06-02 08:45:00
O004,C09,,paid,2026-06-02 11:20:00,2026-06-02 11:20:00
O005,,1130.00,cancelled,2026-06-03 14:00:00,2026-06-03 14:00:00
O006,C13,3440.00,paid,2026-06-03 15:30:00,2026-06-03 15:30:00
O007,C11,-200.00,cancelled,2026-06-04 09:00:00,2026-06-04 09:00:00
O008,C15,890.00,cancelled,2026-06-04 10:00:00,2026-06-04 10:00:00
O009,C14,3000.00,paid,2026/06/05,2026-06-05 12:00:00
O010,C20,N/A,paid,2026-06-05 13:15:00,2026-06-05 13:15:00
O011,C17,2200.00,paid,2026-06-06 09:00:00,2026-06-06 09:00:00
O011,C17,2200.00,paid,2026-06-06 09:00:00,2026-06-06 16:45:00
O012,C03,1800.50,paid,2026-06-06 11:00:00,2026-06-06 11:00:00
O013,C08,0.00,pending,2026-06-07 08:00:00,2026-06-07 08:00:00
O014,C20,4200.00,paid,2026-06-07 09:30:00,2026-06-07 09:30:00
O015,C19,3600.00,paid,2026-06-07 10:15:00,2026-06-07 10:15:00
O016,C02,,cancelled,2026-06-08 12:00:00,2026-06-08 12:00:00
O017,C17,3320.00,paid,not_a_date,2026-06-08 13:00:00
O018,C08,610.00,pending,2026-06-08 14:00:00,2026-06-08 14:00:00
O019,C01,700.00,paid,2026-06-09 08:30:00,2026-06-09 08:30:00
