order_id,customer_id,amount,status,created_at,updated_at
O001,C01,1500.00,paid,2026-06-01 09:12:00,2026-06-01 09:12:00
O002,C02,1950.00,paid,2026-06-01 10:03:00,2026-06-01 10:03:00
O003,C04,3760.00,paid,2026-06-02 08:45:00,2026-06-02 08:45:00
O006,C13,3440.00,paid,2026-06-03 15:30:00,2026-06-03 15:30:00
O008,C15,890.00,cancelled,2026-06-04 10:00:00,2026-06-04 10:00:00
O011,C17,2200.00,paid,2026-06-06 09:00:00,2026-06-06 16:45:00
O012,C03,1800.50,paid,2026-06-06 11:00:00,2026-06-06 11:00:00
O013,C08,0.00,pending,2026-06-07 08:00:00,2026-06-07 08:00:00
O014,C20,4200.00,paid,2026-06-07 09:30:00,2026-06-07 09:30:00
O015,C19,3600.00,paid,2026-06-07 10:15:00,2026-06-07 10:15:00
O018,C08,610.00,pending,2026-06-08 14:00:00,2026-06-08 14:00:00
O019,C01,700.00,paid,2026-06-09 08:30:00,2026-06-09 08:30:00
